,id,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0,2162635,2.6794149658,13569.2492241812,54839744.08284605,16.73,False
1,2277475,0.5943468684,37187.969051060776,35047584.3555302,20.0,True
2,2512244,1.6145071727,95258.90367084519,47943855.703715794,17.83,False
3,3596030,0.2157943048,43409.55052037018,43132470.249202885,22.2,False
4,3667127,0.5702167609,42580.4193933273,46593386.120297864,20.09,True
5,54138696,0.0812905344,55081.424072578404,49933122.91794045,24.32,False
6,54189957,0.3837425691,42386.81914640342,35750963.32361976,20.95,False
7,54230078,0.0119135167,35442.48414324137,41350525.33227867,28.49,False
8,2088213,0.7835017643,73121.22643938121,54962284.95902149,19.4,False
9,3766065,0.2366137501,43617.34346102154,25177467.513561327,22.0,False
10,54049873,0.5649889822,62237.90691303266,51922155.65362129,20.11,True
11,54099949,0.3420109247,57833.16106153429,54537561.98040639,21.2,False
12,54104555,0.1563291544,30136.635394845274,44284410.87688137,22.9,False
13,54235433,0.0137416847,38522.04718049771,37110035.281441316,28.18,False
14,2198752,0.648694146,10421.5590447794,61721089.93264296,19.81,False
15,3069224,1.0815335068,77814.44372763035,58437861.14141474,18.7,False
16,3739154,0.0156329154,39529.65906905638,37820555.927304454,27.9,False
17,3795026,0.0986370281,56608.982082203605,48044757.446637556,23.9,False
18,3797456,0.0651688382,42149.27921502756,18487049.91254496,24.8,False
19,3825138,1.0328564805,107601.45894695735,42550296.23368823,18.8,False
20,3835974,0.0218796303,24886.113221780663,46278705.29961138,27.17,False
21,3842597,0.0225964377,30276.033328410955,33742651.692954116,27.1,False
22,54053939,0.0068240151,38028.54241955664,33573771.70398384,29.7,False
23,2506491,0.4508582062,114156.02584934646,33564358.55293561,20.6,True
24,3329370,0.1132504611,39095.0226744617,51654174.62120763,23.6,False
25,3623582,0.9863702813,69871.9773106199,58438716.66670029,18.9,False
26,3768024,0.3926810818,61617.50990083938,38170955.201714456,20.9,False
27,3781344,0.2477650126,77255.35116217041,43346645.70627189,21.9,True
28,54076362,0.0714562102,11382.256882785834,42721324.13569712,24.6,False
29,54105263,0.3048175575,86215.86192900603,57508508.82331829,21.45,False
30,54232321,0.1132504611,31499.211351231348,30694749.26869368,23.6,False
31,2007480,2.3016536853,24889.1853045411,74035215.4339695,17.06,False
32,2020425,0.4943561926,55289.31538940474,27201352.076547578,20.4,True
33,2337345,0.4508582062,26308.59607649082,46270235.05966353,20.6,False
34,3608427,0.6824015094,50429.0751880435,68493001.73415387,19.7,False
35,3654336,0.4989304142,65649.20662598505,59657746.45417475,20.38,False
36,54016465,0.0326617897,27026.794484254686,32095955.613527216,26.3,False
37,54235525,0.0126485278,49750.28381976224,36518296.19033414,28.36,False
38,2002100,3.3731835891,58570.36199644204,46886756.67482184,16.23,False
39,2003362,1.30028927,68234.06124493596,37990281.003725104,18.3,True
40,2004688,0.7551617405,34604.12806127407,36815953.27385512,19.48,False
41,2252558,0.5420507863,49543.815264445984,51912296.718907826,20.2,False
42,2452334,0.3750075218,41624.52181036668,35996500.36312549,21.0,False
43,3067492,0.1425738833,39811.247280041855,39958520.05937301,23.1,False
44,3313974,0.0089958039,43375.45146481985,52246046.59050353,29.1,False
45,3379718,0.3420109247,42756.788656406876,33800803.95243366,21.2,False
46,3463175,0.6824015094,68820.16214665746,47445286.74358142,19.7,True
47,3572706,0.8204270649,83171.21493910957,52715639.55427989,19.3,True
48,3731680,0.0311917671,46103.06972435766,43133024.09114956,26.4,False
49,3740825,0.4426291165,51621.84742754972,54642689.31877652,20.64,False
50,3986682,0.4721064988,61734.11302636865,11649058.791713167,20.5,True
51,2085182,2.2910785472,102984.84508053164,62629189.2353968,17.07,True
52,3395956,0.1425738833,58181.86941503596,38375567.95115519,23.1,False
53,3624232,0.7482383761,144350.8847540647,55390770.281681016,19.5,False
